"id","price","school","lat","lon","rate","hoa","hvac","garage","view","year","bath","bed","stories","lot","living"
99,-0.404796475696083,0,0.536635713508232,0.986809258665322,-0.203329328363464,0,1,0,0,4,2,2,1,-0.000875180014275512,-0.524401078787696
100,-0.60358960221972,0,1.00221592118813,1.36588255206635,-0.297545842320629,0,0,3,1,5,2,3,1,-0.0188233325545298,-0.797662320925789
102,-0.293522651880106,0,-0.462677115075104,0.316952204528036,-0.162707785966236,0,1,3,0,6,3,4,1,-0.00733574194515056,0.271960255443318
104,-0.306577716546883,0,-0.297923192890468,0.836631015646366,-0.321553219708282,1,0,1,0,5,2,3,1,-0.0253532873327929,-0.618090647520756
105,0.026255674215545,0,1.2729957684384,0.00659777083713556,-0.29488225807187,1,1,3,0,5,3,4,2,-0.00693431749886778,0.389072216359643
106,0.919526926108195,1,-0.00551136287480756,0.969207911985825,-0.357716236252508,1,1,1,1,6,5,6,2,-0.0114202576458398,0.763830491291885
107,-0.173561770381683,0,-0.221447801906115,0.371150842130625,-0.303266523204979,1,1,1,1,4,2,3,1,0.00675978997935684,-0.844507105292319
108,0.123530463682248,0,-0.439108110169283,0.219858401771784,-0.196739774821726,0,1,1,0,3,1,3,1,-0.0122556069859162,-0.4541339022379
109,0.149742374730095,1,-0.183930757355412,NA,-0.182319372790155,0,1,4,1,6,3,3,2,0.00196114282390199,-0.31359954913831
111,-0.403404858359519,0,-0.733656495552084,-0.150419004526078,-0.3363561163473,0,0,1,0,4,2,4,1,0.00148154162549849,-0.469748830360077
113,-0.570314712859707,0,-1.18692933563363,-0.305289225082513,-0.305071408600175,0,1,1,0,5,2,3,1,0.00516111931801182,-0.813277249047965
114,-0.500976303808691,0,0.849495783165981,0.891700097940958,-0.361639685221827,0,1,1,0,4,2,NA,1,-0.0164253265625122,-0.352636869443752
115,0.0369602792601704,0,0.838582534456898,-0.766723735825691,-0.201605160843528,1,1,0,0,5,3,4,2,-0.022123445562592,0.498376713214881
116,-0.0494613553440059,0,1.44636785880828,-0.626547395322629,-0.287958881822713,1,1,3,1,5,4,4,2,0.000408148467166833,0.919979772513652
118,-0.279521646574487,1,-0.420629809415411,-1.62031589014223,-0.222016207469418,0,0,0,0,4,2,3,1,-0.0150638213289492,-0.633705575642933
119,-0.698761193208677,1,-0.56429298888949,2.36090765325553,-0.182269847674146,1,0,0,0,6,2,3,1,-0.0185229230126726,-0.571245863154226
121,-0.341910056392362,1,NA,1.00076730618701,-0.340235079692882,1,1,2,0,6,2,2,1,0.00538686566964131,-0.118412947611101
122,0.634997241373506,0,-0.0150693580536045,0.911802995923683,-0.234825353520693,1,0,3,0,6,3,4,2,-0.0231450136830009,0.435917000726174
123,-0.415956887691891,0,-1.45645663966682,-0.718021608462611,-0.213129912858008,1,1,2,1,6,3,3,2,-0.0231300810449554,-0.500978686604431
124,-0.0499716956155258,0,-0.367233739403283,0.796745766830901,-0.339060449626278,0,1,0,0,4,1,4,1,0.00148681196833809,-0.719587680314905
125,-0.412544549829409,0,1.61981495649523,0.365379749479589,-0.172262053659755,1,1,0,0,5,3,4,2,-0.00252743249448978,-0.290177156955045
126,-0.436870200586716,1,-1.25876591195704,0.591710439898686,-0.286258350816247,1,1,3,0,6,2,3,1,-0.0204782202061638,-0.540016006909872
